neg_score,neut_score,pos_score,comp_score,length,similarity,count_hedgewords,author_flair,author_score,delta
7.3,83.7,9,-5,242,100,180,1,1,0
29.6,70.4,0,-49.39,75,100,0,1,0,0
7.2,79.3,13.5,97.11,1492,100,360,5,3,0
16.4,69.2,14.4,-50.37,538,100,60,15,1,0
24.8,75.2,0,-89.79,226,100,0,11,13,0
0,54.1,45.9,17.79,19,100,0,2,1,0
16.6,83.4,0,-90.72,325,100,300,10,2,0
6.3,81.9,11.8,89.09,953,100,120,4,0,0
3.2,87.6,9.3,93.7,1864,100,1200,6,52,0
13.7,67.4,18.9,19.06,159,100,0,1,-1,0
30.7,69.3,0,-89.92,174,100,240,30,2,0
22.6,66.7,10.7,-97.16,920,100,240,1,17,0
24.1,64.3,11.6,-96.33,596,100,540,11,1,0
3.1,85.9,11,91.53,1117,100,180,1,1,0
9.6,73.9,16.4,71.92,503,100,240,16,1,0
3.8,80.6,15.6,79.36,368,100,0,11,1,0
38.7,54.2,7,-83,117,100,60,3,1,0
23.1,76.9,0,-27.32,49,100,0,1,1,0
0,93.3,6.7,36.12,221,100,0,2,12,0
14.6,77.8,7.6,-88.6,630,100,238,2,1,0
5.2,80.8,14,79.1,428,100,60,52,5,0
21.6,66.7,11.7,-91.95,721,100,180,40,23,0
11.9,81.2,6.9,-62.79,486,100,180,4,6,0
10.5,80.2,9.4,16.8,609,100,60,1,1,0
24.1,46,29.9,88.6,754,100,360,2,2,0
0,81.1,18.9,59.94,133,100,60,44,4,0
6.3,75.3,18.4,58.59,251,100,0,9,15,0
12.3,81.5,6.2,-96.17,1566,100,420,4,17,0
11,89,0,-27.55,101,100,60,16,3,0
2.1,90.4,7.5,92.09,1126,100,600,2,0,0
4.4,95.6,0,-20.23,250,100,0,24,39,0
0.8,84.7,14.5,97.96,1071,100,300,88,1,0
4.4,85.6,10,46.78,393,100,60,1,1,0
45.6,54.4,0,-77.17,63,100,60,24,1,0
17.9,71.5,10.7,-77.08,662,100,120,47,1,0
7.6,81.2,11.2,36.12,500,100,120,1,5,0
32.9,65.5,1.7,-98.72,422,100,0,14,2,0
3.2,91.1,5.8,34,331,100,230,2,2,0
7.1,85.1,7.8,39.19,538,100,0,24,5,0
8.9,81.6,9.5,15.31,929,100,120,15,12,0
7.1,77.4,15.5,40.19,173,100,180,2,1,0
4.3,77.3,18.3,79.31,367,100,120,2,1,0
3,54.2,42.7,95.2,214,100,0,29,3,0
6.3,77,16.7,76.84,316,100,180,3,1,0
0,76.7,23.3,80.2,254,100,0,7,2,0
8.3,84.2,7.6,-54.23,1196,100,295,31,1,0
1.1,91.6,7.4,90.8,1257,100,300,4,1,0
9,83.9,7,-26.88,856,100,180,5,11,0
0,70.5,29.5,77.17,110,100,0,27,1,0
13.8,81.6,4.6,-73.51,286,100,60,1,1,0
8.5,87.9,3.7,-40.43,329,100,60,2,2,0
5.8,82,12.2,97.25,2103,100,360,1,4,0
10.1,81.4,8.4,-54.55,483,100,180,1,1,0
19.6,68.3,12.1,-80.06,498,100,180,1,32,0
8.6,83.8,7.6,-10.27,175,100,120,1,1,0
0,100,0,0,11,100,0,11,1,0
24.7,66,9.3,-81.51,257,100,0,1,2,0
5.4,83.9,10.6,64.86,914,100,180,3,7,0
3.4,87.2,9.4,89.57,1317,100,420,2,3,0
10.8,89.2,0,-52.55,184,100,0,1,0,0
0,91.5,8.5,95.78,1385,100,180,2,1,0
0,100,0,0,95,100,0,6,2,0
8.6,82.1,9.3,19.27,1461,100,180,15,1,0
2,86.4,11.6,93.28,923,100,180,59,1,0
2.1,86.3,11.5,95.2,1357,100,180,1,1,0
0,90.7,9.3,21.44,95,100,0,1,1,0
6.3,86.7,7,-15.31,352,100,60,49,3,0
5.5,76.3,18.2,97.12,863,100,420,1,2,0
0,100,0,0,123,100,60,7,1,0
10,78.8,11.1,43.85,487,100,120,5,2,0
4.7,79.2,16,97.92,1109,100,240,17,2,0
7.6,87.9,4.6,-19.48,930,100,360,2,1,0
5.8,87.7,6.5,-34.99,425,100,120,16,6,0
43.3,56.7,0,-72.69,56,100,0,4,0,0
2.2,97.8,0,-14.19,404,100,120,117,1,0
0,82.2,17.8,50.23,93,100,0,24,1,0
9.2,75.5,15.3,75.09,387,100,60,17,2,0
5.9,81,13,82.52,826,100,240,5,15,0
9,81.1,9.9,7.72,165,100,0,6,1,0
5.9,78,16.1,97.74,1424,100,240,14,3,0
1.2,72.9,25.9,99.38,1026,100,240,2,0,0
3,91.6,5.4,16.64,417,100,120,14,2,0
6.1,77.4,16.5,69.7,419,100,60,66,24,0
29.4,63.9,6.7,-79.67,109,100,0,2,2,0
9.8,90.2,0,-59.83,287,100,60,1,1,0
0,81.6,18.4,40.19,87,100,0,14,5,0
0,100,0,0,97,100,120,1,2,0
3,83.7,13.3,99.4,3446,100,840,1,4,0
2,84.2,13.8,98.36,1488,100,480,42,1,0
12.5,80.3,7.2,-72.99,617,100,120,2,2,0
6.7,77.3,16,99.1,2188,100,300,38,3,0
9.4,73.5,17.1,73.56,371,100,60,2,1,0
12,66.2,21.8,77.06,336,100,60,19,2,0
0,62.5,37.5,71.84,85,100,0,1,4,0
13.8,80.2,6,-88.58,614,100,240,2,2,0
0,79.2,20.8,69.96,147,100,0,4,5,0
9.2,84.5,6.4,-19.06,355,100,60,3,9,0
0,79.8,20.2,72.39,168,100,60,12,6,0
0,88,12,70.03,341,100,60,47,1,0
21.5,78.5,0,-47.67,101,100,0,3,27,0
18.7,70.1,11.3,-22.44,119,100,60,3,8,0
0,87.3,12.7,49.39,144,100,60,10,0,0
16.6,66.8,16.6,-23.82,926,100,180,1,17,0
18.8,76.1,5.1,-98.73,1165,100,480,12,2,0
0,100,0,0,24,100,0,1,2,0
3.6,85.4,11,87.75,986,100,480,1,4,0
18.9,76.8,4.3,-99.03,1614,100,300,6,11,0
7.9,90.7,1.4,-68.91,590,100,120,3,4,0
7.2,89.3,3.5,-36.32,700,100,60,1,1,0
